Make,Model,Year,PRA No.,,Issue,Description
BMW,X5 E53,2001,"2016/15581, 2017/15881, 2019/17335",,AirBag,
BMW,X5 E53,2002,"2016/15581, 2017/15881, 2019/17335",,AirBag,
BMW,X5 E53,2003,"2016/15581, 2017/15881, 2019/17335",,AirBag,
BMW,X5 E53,2004,"2016/15581, 2017/15881",,AirBag,
BMW,X5 E53,2005,2016/15581,,AirBag,
BMW,X5 E53,2006,2016/15581,,AirBag,
BMW,E70 X5,2007,"2017/16230, 2017/16298",,AirBag,
BMW,E70 X5,2008,"2017/16230, 2017/16298",,AirBag,
BMW,E70 X5,2009,"2017/16230, 2017/16298",,AirBag,
BMW,E70 X5,2010,"2017/16230, 2017/16298",,AirBag,
BMW,E70 X5,2011,"2017/16230, 2017/16298",,AirBag,
BMW,E70 X5,2012,"2017/16230, 2017/16298",,AirBag,
BMW,E70 X5,2013,2018/16566,,AirBag,
BMW,E71 X6,2007,"2017/16230, 2017/16298",,AirBag,
BMW,E71 X6,2008,"2017/16230, 2017/16298",,AirBag,
BMW,E71 X6,2009,"2017/16230, 2017/16298",,AirBag,
BMW,E71 X6,2010,"2017/16230, 2017/16298",,AirBag,
BMW,E71 X6,2011,"2017/16230, 2017/16298",,AirBag,
BMW,E71 X6,2012,"2017/16230, 2017/16298",,AirBag,
BMW,E71 X6,2013,2018/16566,,AirBag,
BMW,1 Series E81,2004,2018/16809,,AirBag,
BMW,1 Series E81,2005,2018/16809,,AirBag,
BMW,1 Series E81,2006,2018/16809,,AirBag,
BMW,1 Series E81,2007,2018/16809,,AirBag,
BMW,1 Series E81,2008,2018/16809,,AirBag,
BMW,1 Series E81,2009,2018/16809,,AirBag,
BMW,1 Series E81,2010,2018/16809,,AirBag,
BMW,1 Series E81,2011,2018/16809,,AirBag,
BMW,1 Series E81,2012,2018/16809,,AirBag,
BMW,1 Series E81,2013,2018/16809,,AirBag,
BMW,1 Series E81,2014,2018/16809,,AirBag,
BMW,1 Series E82,2004,2018/16809,,AirBag,
BMW,1 Series E82,2005,2018/16809,,AirBag,
BMW,1 Series E82,2006,2018/16809,,AirBag,
BMW,1 Series E82,2007,2018/16809,,AirBag,
BMW,1 Series E82,2008,2018/16809,,AirBag,
BMW,1 Series E82,2009,2018/16809,,AirBag,
BMW,1 Series E82,2010,2018/16809,,AirBag,
BMW,1 Series E82,2011,2018/16809,,AirBag,
BMW,1 Series E82,2012,2018/16809,,AirBag,
BMW,1 Series E82,2013,2018/16809,,AirBag,
BMW,1 Series E82,2014,2018/16809,,AirBag,
BMW,1 Series E87,2004,2018/16809,,AirBag,
BMW,1 Series E87,2005,2018/16809,,AirBag,
BMW,1 Series E87,2006,2018/16809,,AirBag,
BMW,1 Series E87,2007,2018/16809,,AirBag,
BMW,1 Series E87,2008,2018/16809,,AirBag,
BMW,1 Series E87,2009,2018/16809,,AirBag,
BMW,1 Series E87,2010,2018/16809,,AirBag,
BMW,1 Series E87,2011,2018/16809,,AirBag,
BMW,1 Series E87,2012,2018/16809,,AirBag,
BMW,1 Series E87,2013,2018/16809,,AirBag,
BMW,1 Series E87,2014,2018/16809,,AirBag,
BMW,1 Series E88,2004,2018/16809,,AirBag,
BMW,1 Series E88,2005,2018/16809,,AirBag,
BMW,1 Series E88,2006,2018/16809,,AirBag,
BMW,1 Series E88,2007,2018/16809,,AirBag,
BMW,1 Series E88,2008,2018/16809,,AirBag,
BMW,1 Series E88,2009,2018/16809,,AirBag,
BMW,1 Series E88,2010,2018/16809,,AirBag,
BMW,1 Series E88,2011,2018/16809,,AirBag,
BMW,1 Series E88,2012,2018/16809,,AirBag,
BMW,1 Series E88,2013,2018/16809,,AirBag,
BMW,1 Series E88,2014,2018/16809,,AirBag,
BMW,3 Series E90,2004,2018/16809,,AirBag,
BMW,3 Series E90,2005,2018/16809,,AirBag,
BMW,3 Series E90,2006,2018/16809,,AirBag,
BMW,3 Series E90,2007,2018/16809,,AirBag,
BMW,3 Series E90,2008,2018/16809,,AirBag,
BMW,3 Series E90,2009,2018/16809,,AirBag,
BMW,3 Series E90,2010,2018/16809,,AirBag,
BMW,3 Series E90,2011,2018/16809,,AirBag,
BMW,3 Series E90,2012,2018/16809,,AirBag,
BMW,3 Series E90,2013,2018/16809,,AirBag,
BMW,3 Series E90,2014,2018/16809,,AirBag,
BMW,3 Series E90,2015,2018/16809,,AirBag,
BMW,3 Series E91,2004,2018/16809,,AirBag,
BMW,3 Series E91,2005,2018/16809,,AirBag,
BMW,3 Series E91,2006,2018/16809,,AirBag,
BMW,3 Series E91,2007,2018/16809,,AirBag,
BMW,3 Series E91,2008,2018/16809,,AirBag,
BMW,3 Series E91,2009,2018/16809,,AirBag,
BMW,3 Series E91,2010,2018/16809,,AirBag,
BMW,3 Series E91,2011,2018/16809,,AirBag,
BMW,3 Series E91,2012,2018/16809,,AirBag,
BMW,3 Series E91,2013,2018/16809,,AirBag,
BMW,3 Series E91,2014,2018/16809,,AirBag,
BMW,3 Series E91,2015,2018/16809,,AirBag,
BMW,3 Series E92,2004,2018/16809,,AirBag,
BMW,3 Series E92,2005,2018/16809,,AirBag,
BMW,3 Series E92,2006,2018/16809,,AirBag,
BMW,3 Series E92,2007,2018/16809,,AirBag,
BMW,3 Series E92,2008,2018/16809,,AirBag,
BMW,3 Series E92,2009,2018/16809,,AirBag,
BMW,3 Series E92,2010,2018/16809,,AirBag,
BMW,3 Series E92,2011,2018/16809,,AirBag,
BMW,3 Series E92,2012,2018/16809,,AirBag,
BMW,3 Series E92,2013,2018/16809,,AirBag,
BMW,3 Series E92,2014,2018/16809,,AirBag,
BMW,3 Series E92,2015,2018/16809,,AirBag,
BMW,3 Series E93,2004,2018/16809,,AirBag,
BMW,3 Series E93,2005,2018/16809,,AirBag,
BMW,3 Series E93,2006,2018/16809,,AirBag,
BMW,3 Series E93,2007,2018/16809,,AirBag,
BMW,3 Series E93,2008,2018/16809,,AirBag,
BMW,3 Series E93,2009,2018/16809,,AirBag,
BMW,3 Series E93,2010,2018/16809,,AirBag,
BMW,3 Series E93,2011,2018/16809,,AirBag,
BMW,3 Series E93,2012,2018/16809,,AirBag,
BMW,3 Series E93,2013,2018/16809,,AirBag,
BMW,3 Series E93,2014,2018/16809,,AirBag,
BMW,3 Series E93,2015,2018/16809,,AirBag,
BMW,E83 X3,2004,"2018/16809, 2018/16822",,AirBag,
BMW,E83 X3,2005,"2018/16809, 2018/16822",,AirBag,
BMW,E83 X3,2006,"2018/16809, 2018/16822",,AirBag,
BMW,E83 X3,2007,"2018/16809, 2018/16822",,AirBag,
BMW,E83 X3,2008,2018/16809,,AirBag,
BMW,E83 X3,2009,2018/16809,,AirBag,
BMW,E83 X3,2010,2018/16809,,AirBag,
BMW,E83 X3,2011,2018/16809,,AirBag,
BMW,E83 X3,2012,2018/16809,,AirBag,
BMW,E83 X3,2013,2018/16809,,AirBag,
BMW,E83 X3,2014,2018/16809,,AirBag,
BMW,E83 X3,2015,2018/16809,,AirBag,
BMW,"1 Series (F20, F21)",2012,2018/17191,,AirBag,
BMW,"1 Series (F20, F21)",2013,2018/17191,,AirBag,
BMW,"1 Series (F20, F21)",2014,2018/17191,,AirBag,
BMW,"1 Series (F20, F21)",2015,2018/17191,,AirBag,
BMW,"1 Series (F20, F21)",2016,2018/17191,,AirBag,
BMW,"1 Series (F20, F21)",2017,2018/17191,,AirBag,
BMW,"2 Series (F22, F23, F45, F46)",2012,2018/17191,,AirBag,
BMW,"2 Series (F22, F23, F45, F46)",2013,2018/17191,,AirBag,
BMW,"2 Series (F22, F23, F45, F46)",2014,2018/17191,,AirBag,
BMW,"2 Series (F22, F23, F45, F46)",2015,2018/17191,,AirBag,
BMW,"2 Series (F22, F23, F45, F46)",2016,2018/17191,,AirBag,
BMW,"2 Series (F22, F23, F45, F46)",2017,2018/17191,,AirBag,
BMW,"3 Series (F30, F31, F34)",2012,2018/17191,,AirBag,
BMW,"3 Series (F30, F31, F34)",2013,2018/17191,,AirBag,
BMW,"3 Series (F30, F31, F34)",2014,2018/17191,,AirBag,
BMW,"3 Series (F30, F31, F34)",2015,2018/17191,,AirBag,
BMW,"3 Series (F30, F31, F34)",2016,2018/17191,,AirBag,
BMW,"3 Series (F30, F31, F34)",2017,2018/17191,,AirBag,
BMW,"4 Series (F32, F33, F36)",2012,2018/17191,,AirBag,
BMW,"4 Series (F32, F33, F36)",2013,2018/17191,,AirBag,
BMW,"4 Series (F32, F33, F36)",2014,2018/17191,,AirBag,
BMW,"4 Series (F32, F33, F36)",2015,2018/17191,,AirBag,
BMW,"4 Series (F32, F33, F36)",2016,2018/17191,,AirBag,
BMW,"4 Series (F32, F33, F36)",2017,2018/17191,,AirBag,
BMW,"5 Series (F07, F10, F11)",2012,2018/17191,,AirBag,
BMW,"5 Series (F07, F10, F11)",2013,2018/17191,,AirBag,
BMW,"5 Series (F07, F10, F11)",2014,2018/17191,,AirBag,
BMW,"5 Series (F07, F10, F11)",2015,2018/17191,,AirBag,
BMW,"5 Series (F07, F10, F11)",2016,2018/17191,,AirBag,
BMW,"5 Series (F07, F10, F11)",2017,2018/17191,,AirBag,
BMW,"6 Series (F06, F12, F13)",2012,2018/17191,,AirBag,
BMW,"6 Series (F06, F12, F13)",2013,2018/17191,,AirBag,
BMW,"6 Series (F06, F12, F13)",2014,2018/17191,,AirBag,
BMW,"6 Series (F06, F12, F13)",2015,2018/17191,,AirBag,
BMW,"6 Series (F06, F12, F13)",2016,2018/17191,,AirBag,
BMW,"6 Series (F06, F12, F13)",2017,2018/17191,,AirBag,
Cadillac,Escalade,2007,2018/16810,,AirBag,
Cadillac,Escalade,2008,2018/16810,,AirBag,
Cadillac,Escalade,2009,2018/16810,,AirBag,
Cadillac,Escalade,2010,2018/16810,,AirBag,
Cadillac,Escalade,2011,2018/16810,,AirBag,
Cadillac,Escalade,2012,2018/16810,,AirBag,
Cadillac,Escalade,2013,2018/16810,,AirBag,
Cadillac,Escalade,2014,2018/16810,,AirBag,
Chrysler,300 (LE/LX),2005,"2015/14742, 2016/15516",,AirBag,
Chrysler,300 (LE/LX),2006,"2015/14742, 2016/15516",,AirBag,
Chrysler,300 (LE/LX),2007,"2015/14742, 2016/15516",,AirBag,
Chrysler,300 (LE/LX),2008,"2015/14742, 2016/15516",,AirBag,
Chrysler,300 (LE/LX),2009,"2015/14742, 2016/15516",,AirBag,
Chrysler,300 (LE/LX),2010,"2015/14742, 2016/15516",,AirBag,
Chrysler,300 (LE/LX),2011,2016/15516,,AirBag,
Chrysler,300 (LE/LX),2012,2016/15516,,AirBag,
Chrysler,300 (LE/LX),2013,2018/16617,,AirBag,
Chrysler,300 LX,2014,2018/16702,,AirBag,
Chrysler,300 LX,2015,2018/16702,,AirBag,
Chrysler,300 C,2005,2015/14742,,AirBag,
Chrysler,300 C,2006,2015/14742,,AirBag,
Chrysler,300 C,2007,2015/14742,,AirBag,
Chrysler,300 C,2008,2015/14742,,AirBag,
Chrysler,300 C,2009,2015/14742,,AirBag,
Chrysler,300 C,2010,2015/14742,,AirBag,
Chrysler,300 C,2013,2018/16617,,AirBag,
Citroen,C3 (A5 Series),2009,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2010,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2011,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2012,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2013,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2014,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2015,2018/16878,,AirBag,
Citroen,C3 (A5 Series),2016,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2009,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2010,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2011,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2012,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2013,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2014,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2015,2018/16878,,AirBag,
Citroen,C4 (B7 Series),2016,2018/16878,,AirBag,
Citroen,DS3,2009,2018/16878,,AirBag,
Citroen,DS3,2010,2018/16878,,AirBag,
Citroen,DS3,2011,2018/16878,,AirBag,
Citroen,DS3,2012,2018/16878,,AirBag,
Citroen,DS3,2013,2018/16878,,AirBag,
Citroen,DS3,2014,2018/16878,,AirBag,
Citroen,DS3,2015,2018/16878,,AirBag,
Citroen,DS3,2016,2018/16878,,AirBag,
Citroen,DS4,2009,2018/16878,,AirBag,
Citroen,DS4,2010,2018/16878,,AirBag,
Citroen,DS4,2011,2018/16878,,AirBag,
Citroen,DS4,2012,2018/16878,,AirBag,
Citroen,DS4,2013,2018/16878,,AirBag,
Citroen,DS4,2014,2018/16878,,AirBag,
Citroen,DS4,2015,2018/16878,,AirBag,
Citroen,DS4,2016,2018/16878,,AirBag,
Citroen,DS5,2009,2018/16878,,AirBag,
Citroen,DS5,2010,2018/16878,,AirBag,
Citroen,DS5,2011,2018/16878,,AirBag,
Citroen,DS5,2012,2018/16878,,AirBag,
Citroen,DS5,2013,2018/16878,,AirBag,
Citroen,DS5,2014,2018/16878,,AirBag,
Citroen,DS5,2015,2018/16878,,AirBag,
Citroen,DS5,2016,2018/16878,,AirBag,
Dodge,RAM,2004,"2016/15516, 2019/17690",,AirBag,
Dodge,RAM,2005,"2016/15516, 2019/17690",,AirBag,
Dodge,RAM,2006,"2016/15516, 2019/17690",,AirBag,
Dodge,RAM,2007,"2016/15516, 2019/17690",,AirBag,
Dodge,RAM,2008,"2016/15516, 2019/17690",,AirBag,
Dodge,RAM,2009,"2016/15516, 2019/17690",,AirBag,
Dodge,RAM,2010,2016/15516,,AirBag,
Ferrari,,,MUNA ferrari please lol (confusing)...,,AirBag,
Ford,Courier,2004,2018/16645,,AirBag,
Ford,Courier,2005,2018/16645,,AirBag,
Ford,Courier,2006,2018/16645,,AirBag,
Ford,Econovan,2004,2018/16645,,AirBag,
Ford,Econovan,2005,2018/16645,,AirBag,
Ford,Ranger,2006,2018/16645,,AirBag,
Ford,Ranger,2007,2018/16645,,AirBag,
Ford,Ranger,2008,2018/16645,,AirBag,
Ford,Ranger,2009,2018/16645,,AirBag,
Ford,Ranger,2010,2018/16645,,AirBag,
Ford,Ranger,2011,2018/16645,,AirBag,
Ford,Mondeo MA,2007,2018/17077,,AirBag,
Ford,Mondeo MA,2008,2018/17077,,AirBag,
Ford,Mondeo MA,2009,2018/17077,,AirBag,
Ford,Mondeo MA,2014,2018/17077,,AirBag,
Ford,Mondeo MA,2015,2018/17077,,AirBag,
Ford,Mondeo MA,2016,2018/17077,,AirBag,
Ford,Mondeo MA,2017,2018/17077,,AirBag,
Ford,Mondeo MB,2007,2018/17077,,AirBag,
Ford,Mondeo MB,2008,2018/17077,,AirBag,
Ford,Mondeo MB,2009,2018/17077,,AirBag,
Ford,Mondeo MB,2014,2018/17077,,AirBag,
Ford,Mondeo MB,2015,2018/17077,,AirBag,
Ford,Mondeo MB,2016,2018/17077,,AirBag,
Ford,Mondeo MB,2017,2018/17077,,AirBag,
Ford,Mondeo MD,2007,2018/17077,,AirBag,
Ford,Mondeo MD,2008,2018/17077,,AirBag,
Ford,Mondeo MD,2009,2018/17077,,AirBag,
Ford,Mondeo MD,2014,2018/17077,,AirBag,
Ford,Mondeo MD,2015,2018/17077,,AirBag,
Ford,Mondeo MD,2016,2018/17077,,AirBag,
Ford,Mondeo MD,2017,2018/17077,,AirBag,
Ford,Mustang,2005,"2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2006,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2007,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2008,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2009,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2010,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2011,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2012,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2013,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,Mustang,2014,"2015/14924, 2017/16339, 2018/16741, 2019/17566",,AirBag,
Ford,GT,2005,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2006,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2007,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2008,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2009,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2010,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2011,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2012,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2013,"2018/16741, 2019/17566",,AirBag,
Ford,GT,2014,"2018/16741, 2019/17566",,AirBag,
,,,,,,
GMC,Silverado,2007,"2018/16697, 2019/17743",,AirBag,
GMC,Silverado,2008,"2018/16697, 2019/17743",,AirBag,
GMC,Sierra,2007,"2018/16697, 2019/17743",,AirBag,
GMC,Sierra,2008,"2018/16697, 2019/17743",,AirBag,
,,,,,,
Holden,SAAB 9-3,2006,2018/16729,,AirBag,
Holden,SAAB 9-3,2007,2018/16729,,AirBag,
Holden,SAAB 9-3,2008,2018/16729,,AirBag,
Holden,SAAB 9-3,2009,2018/16729,,AirBag,
Holden,SAAB 9-3,2010,2018/16729,,AirBag,
Holden,SAAB 9-3,2011,2018/16729,,AirBag,
Holden,SAAB 9-5,2006,2018/16729,,AirBag,
Holden,SAAB 9-5,2007,2018/16729,,AirBag,
Holden,SAAB 9-5,2008,2018/16729,,AirBag,
Holden,SAAB 9-5,2009,2018/16729,,AirBag,
Holden,SAAB 9-5,2010,2018/16729,,AirBag,
Holden,SAAB 9-5,2011,2018/16729,,AirBag,
Holden,Opel Astra,2012,2018/16957,,AirBag,
Holden,Opel Astra,2013,2018/16957,,AirBag,
Holden,Opel Astra,2014,2018/16957,,AirBag,
Holden,Opel Astra,2015,2018/16957,,AirBag,
Holden,Opel Astra,2016,2018/16957,,AirBag,
Holden,Opel Astra,2017,2018/16957,,AirBag,
Holden,Astra,2012,2018/16957,,AirBag,
Holden,Astra,2013,2018/16957,,AirBag,
Holden,Astra,2014,2018/16957,,AirBag,
Holden,Astra,2015,2018/16957,,AirBag,
Holden,Astra,2016,2018/16957,,AirBag,
Holden,Astra,2017,2018/16957,,AirBag,
Holden,Opel Cascada,2012,2018/16957,,AirBag,
Holden,Opel Cascada,2013,2018/16957,,AirBag,
Holden,Opel Cascada,2014,2018/16957,,AirBag,
Holden,Opel Cascada,2015,2018/16957,,AirBag,
Holden,Opel Cascada,2016,2018/16957,,AirBag,
Holden,Opel Cascada,2017,2018/16957,,AirBag,
Holden,Opel Zafira,2012,2018/16957,,AirBag,
Holden,Opel Zafira,2013,2018/16957,,AirBag,
Holden,Opel Zafira,2014,2018/16957,,AirBag,
Holden,Opel Zafira,2015,2018/16957,,AirBag,
Holden,Opel Zafira,2016,2018/16957,,AirBag,
Holden,Opel Zafira,2017,2018/16957,,AirBag,
Holden,Cruze,2010,2018/16856,,AirBag,
Holden,Cruze,2011,2018/16856,,AirBag,
Holden,Cruze,2012,2018/16856,,AirBag,
Holden,Cruze,2013,2018/16856,,AirBag,
Holden,Cruze,2014,2018/16856,,AirBag,
Holden,Cruze,2015,2018/16856,,AirBag,
Holden,Cruze,2016,2018/16856,,AirBag,
Holden,Cruze,2017,2018/16856,,AirBag,
Holden,Cruze,2018,2018/16856,,AirBag,
Holden,Trax,2010,2018/16856,,AirBag,
Holden,Trax,2011,2018/16856,,AirBag,
Holden,Trax,2012,2018/16856,,AirBag,
Holden,Trax,2013,2018/16856,,AirBag,
Holden,Trax,2014,2018/16856,,AirBag,
Holden,Trax,2015,2018/16856,,AirBag,
Holden,Trax,2016,2018/16856,,AirBag,
Holden,Trax,2017,2018/16856,,AirBag,
Holden,Trax,2018,2018/16856,,AirBag,
Holden,Barina,2010,2018/16856,,AirBag,
Holden,Barina,2011,2018/16856,,AirBag,
Holden,Barina,2012,2018/16856,,AirBag,
Holden,Barina,2013,2018/16856,,AirBag,
Holden,Barina,2014,2018/16856,,AirBag,
Holden,Barina,2015,2018/16856,,AirBag,
Holden,Barina,2016,2018/16856,,AirBag,
Holden,Barina,2017,2018/16856,,AirBag,
Holden,Barina,2018,2018/16856,,AirBag,
Holden,AH Astra,2005,2019/17363,,AirBag,
Holden,AH Astra,2006,2019/17363,,AirBag,
Holden,AH Astra,2007,2019/17363,,AirBag,
Holden,AH Astra,2008,2019/17363,,AirBag,
Holden,AH Astra,2009,"2019/17363, 2019/17364",,AirBag,
Holden,AH Astra Convertible,2005,2019/17363,,AirBag,
Holden,AH Astra Convertible,2006,2019/17363,,AirBag,
Holden,AH Astra Convertible,2007,2019/17363,,AirBag,
Holden,AH Astra Convertible,2008,2019/17363,,AirBag,
Holden,AH Astra Convertible,2009,2019/17363,,AirBag,
Holden,HSV Astra VXR,2006,2019/17363,,AirBag,
Holden,HSV Astra VXR,2007,2019/17363,,AirBag,
Holden,HSV Astra VXR,2008,2019/17363,,AirBag,
Holden,HSV Astra VXR,2009,"2019/17363, 2019/17364",,AirBag,
,,,,,,
Honda,Accord,2001,"2009/10969, 2011/12633, 2013/13549, 2015/14737, 2019/17450",,AirBag,
Honda,Accord,2002,"2009/10969, 2011/12633, 2013/13549, 2015/14737, 2019/17450, 2019/17662",,AirBag,
Honda,Accord,2003,"2013/13549, 2015/14737, 2016/15495, 2019/17450, 2019/17659",,AirBag,
Honda,Accord,2004,"2015/14737, 2016/15495, 2019/17450",,AirBag,
Honda,Accord,2005,"2015/14737, 2016/15495, 2019/17450, 2019/17662",,AirBag,
Honda,Accord,2006,"2015/14737, 2016/15494, 2016/15495, 2019/17450, 2019/17662",,AirBag,
Honda,Accord,2007,"2015/14737, 2016/15494, 2016/15495, 2019/17450, 2019/17662",,AirBag,
Honda,Accord,2008,"2016/15494, 2016/15495, 2019/17660",,AirBag,
Honda,Accord,2009,"2016/15494, 2016/15495, 2019/17660",,AirBag,
Honda,Accord,2010,"2016/15494, 2016/15495, 2019/17660",,AirBag,
Honda,Accord,2011,"2016/15494, 2016/15495",,AirBag,
Honda,Accord,2012,2017/15859,,AirBag,
Honda,CR-V,2001,"2009/10969, 2013/13549",,AirBag,
Honda,CR-V,2002,"2009/10969, 2013/13549, 2015/14703, 2019/17658",,AirBag,
